"TD [um]","TH [um]","Freq [GHz]","1- mag( (S(FloquetPort1:1,FloquetPort1:1)) ) * mag( (S(FloquetPort1:1,FloquetPort1:1)) ) []"
160,475,198,0.701752596984899
160,475,198.5,0.701478444693304
160,475,199,0.701227888747151
160,475,199.5,0.701000947881163
160,475,200,0.700797639588849
160,475,200.5,0.700617980145966
160,475,201,0.700461984633317
160,475,201.5,0.700329666958893
160,475,202,0.700221039879436
160,475,202.5,0.700136115021415
160,475,203,0.700074902901475
160,475,203.5,0.700037412946364
160,475,204,0.700023653512362
160,475,204.5,0.700033631904232
160,475,205,0.70006735439368
160,475,205.5,0.70012482623735
160,475,206,0.70020605169433
160,475,206.5,0.700311034043164
160,475,207,0.700439775598342
160,475,207.5,0.700592277726263
160,475,208,0.700768540860598
160,475,208.5,0.700968564517048
160,475,209,0.701192347307424
160,475,209.5,0.701439886952983
160,475,210,0.701711180296973
160,475,210.5,0.70200622331628
160,475,211,0.702325011132113
160,475,211.5,0.702667538019609
160,475,212,0.703033797416254
160,475,212.5,0.703423781929012
160,475,213,0.703837483340012
160,475,213.5,0.704274892610666
160,475,214,0.704735999884065
160,475,214.5,0.705220794485483
160,475,215,0.705729264920825
160,475,215.5,0.706261398872825
160,475,216,0.706817183194805
160,475,216.5,0.707396603901784
160,475,217,0.707999646158719
160,475,217.5,0.708626294265658
160,475,218,0.709276531639548
160,475,218.5,0.70995034079247
160,475,219,0.710647703306016
160,475,219.5,0.711368599801568
160,475,220,0.712113009906172
160,475,220.5,0.712880912213737
160,475,221,0.713672284241252
160,475,221.5,0.71448710237973
160,475,222,0.71532534183955
160,475,222.5,0.716186976589896
160,475,223,0.717071979291963
160,475,223.5,0.717980321225601
160,475,224,0.718911972209074
160,475,224.5,0.719866900511591
160,475,225,0.720845072758294
160,475,225.5,0.721846453827342
160,475,226,0.722871006738795
160,475,226.5,0.72391869253494
160,475,227,0.724989470151756
160,475,227.5,0.726083296281203
160,475,228,0.727200125224018
160,475,228.5,0.72833990873274
160,475,229,0.729502595844676
160,475,229.5,0.730688132704542
160,475,230,0.731896462376543
160,475,230.5,0.733127524645663
160,475,231,0.734381255807964
160,475,231.5,0.735657588449724
160,475,232,0.736956451215272
160,475,232.5,0.738277768563407
160,475,233,0.739621460512337
160,475,233.5,0.740987442373087
160,475,234,0.742375624471407
160,475,234.5,0.743785911858221
160,475,235,0.745218204008732
160,475,235.5,0.746672394510339
160,475,236,0.748148370739588
160,475,236.5,0.749646013528436
160,475,237,0.751165196820169
160,475,237.5,0.752705787315398
160,475,238,0.754267644108597
160,475,238.5,0.755850618315772
160,475,239,0.757454552693875
160,475,239.5,0.759079281252704
160,475,240,0.76072462886008
160,475,240.5,0.762390410841201
160,475,241,0.764076432573171
160,475,241.5,0.765782489075747
160,475,242,0.767508364599505
160,475,242.5,0.769253832212672
160,475,243,0.771018653387989
160,475,243.5,0.77280257759105
160,475,244,0.774605341871686
160,475,244.5,0.776426670460012
160,475,245,0.778266274368889
160,475,245.5,0.780123851004624
160,475,246,0.781999083787808
160,475,246.5,0.783891641786293
160,475,247,0.785801179362373
160,475,247.5,0.787727335836304
160,475,248,0.789669735168368
160,475,248.5,0.791627985661741
160,475,249,0.793601679688452
160,475,249.5,0.795590393440795
160,475,250,0.797593686710531
